Irrep 	 alpha 	 beta 	 name 	 coefficient 	  p^1 	 p^2 	 q
A1	1	1	E	1/8	"(1, -1, 0)"	"(-1, 0, 0)"	"(1.000000, 0.000000, 0.500000)"
A1	1	1	C2y	1/8	"(-1, -1, 0)"	"(1, 0, 0)"	"(1.000000, 0.000000, 0.500000)"
A1	1	1	C4y+	1/8	"(0, -1, -1)"	"(0, 0, 1)"	"(1.000000, 0.000000, 0.500000)"
A1	1	1	C4y-	1/8	"(0, -1, 1)"	"(0, 0, -1)"	"(1.000000, 0.000000, 0.500000)"
A1	1	1	sigma_x	1/8	"(-1, -1, 0)"	"(1, 0, 0)"	"(1.000000, 0.000000, 0.500000)"
A1	1	1	sigma_z	1/8	"(1, -1, 0)"	"(-1, 0, 0)"	"(1.000000, 0.000000, 0.500000)"
A1	1	1	sigma_d3	1/8	"(0, -1, -1)"	"(0, 0, 1)"	"(1.000000, 0.000000, 0.500000)"
A1	1	1	sigma_d5	1/8	"(0, -1, 1)"	"(0, 0, -1)"	"(1.000000, 0.000000, 0.500000)"
A1	1	1	E	1/8	"(-1, -1, 0)"	"(1, 0, 0)"	"(-1.000000, 0.000000, 0.500000)"
A1	1	1	C2y	1/8	"(1, -1, 0)"	"(-1, 0, 0)"	"(-1.000000, 0.000000, 0.500000)"
A1	1	1	C4y+	1/8	"(0, -1, 1)"	"(0, 0, -1)"	"(-1.000000, 0.000000, 0.500000)"
A1	1	1	C4y-	1/8	"(0, -1, -1)"	"(0, 0, 1)"	"(-1.000000, 0.000000, 0.500000)"
A1	1	1	sigma_x	1/8	"(1, -1, 0)"	"(-1, 0, 0)"	"(-1.000000, 0.000000, 0.500000)"
A1	1	1	sigma_z	1/8	"(-1, -1, 0)"	"(1, 0, 0)"	"(-1.000000, 0.000000, 0.500000)"
A1	1	1	sigma_d3	1/8	"(0, -1, 1)"	"(0, 0, -1)"	"(-1.000000, 0.000000, 0.500000)"
A1	1	1	sigma_d5	1/8	"(0, -1, -1)"	"(0, 0, 1)"	"(-1.000000, 0.000000, 0.500000)"
A1	1	1	E	1/8	"(1, -1, 1)"	"(-1, 0, -1)"	"(1.000000, 1.000000, 0.500000)"
A1	1	1	C2y	1/8	"(-1, -1, -1)"	"(1, 0, 1)"	"(1.000000, 1.000000, 0.500000)"
A1	1	1	C4y+	1/8	"(1, -1, -1)"	"(-1, 0, 1)"	"(1.000000, 1.000000, 0.500000)"
A1	1	1	C4y-	1/8	"(-1, -1, 1)"	"(1, 0, -1)"	"(1.000000, 1.000000, 0.500000)"
A1	1	1	sigma_x	1/8	"(-1, -1, 1)"	"(1, 0, -1)"	"(1.000000, 1.000000, 0.500000)"
A1	1	1	sigma_z	1/8	"(1, -1, -1)"	"(-1, 0, 1)"	"(1.000000, 1.000000, 0.500000)"
A1	1	1	sigma_d3	1/8	"(-1, -1, -1)"	"(1, 0, 1)"	"(1.000000, 1.000000, 0.500000)"
A1	1	1	sigma_d5	1/8	"(1, -1, 1)"	"(-1, 0, -1)"	"(1.000000, 1.000000, 0.500000)"
A1	1	1	E	1/8	"(1, -1, -1)"	"(-1, 0, 1)"	"(1.000000, -1.000000, 0.500000)"
A1	1	1	C2y	1/8	"(-1, -1, 1)"	"(1, 0, -1)"	"(1.000000, -1.000000, 0.500000)"
A1	1	1	C4y+	1/8	"(-1, -1, -1)"	"(1, 0, 1)"	"(1.000000, -1.000000, 0.500000)"
A1	1	1	C4y-	1/8	"(1, -1, 1)"	"(-1, 0, -1)"	"(1.000000, -1.000000, 0.500000)"
A1	1	1	sigma_x	1/8	"(-1, -1, -1)"	"(1, 0, 1)"	"(1.000000, -1.000000, 0.500000)"
A1	1	1	sigma_z	1/8	"(1, -1, 1)"	"(-1, 0, -1)"	"(1.000000, -1.000000, 0.500000)"
A1	1	1	sigma_d3	1/8	"(1, -1, -1)"	"(-1, 0, 1)"	"(1.000000, -1.000000, 0.500000)"
A1	1	1	sigma_d5	1/8	"(-1, -1, 1)"	"(1, 0, -1)"	"(1.000000, -1.000000, 0.500000)"
A1	1	1	E	1/8	"(-1, -1, 1)"	"(1, 0, -1)"	"(-1.000000, 1.000000, 0.500000)"
A1	1	1	C2y	1/8	"(1, -1, -1)"	"(-1, 0, 1)"	"(-1.000000, 1.000000, 0.500000)"
A1	1	1	C4y+	1/8	"(1, -1, 1)"	"(-1, 0, -1)"	"(-1.000000, 1.000000, 0.500000)"
A1	1	1	C4y-	1/8	"(-1, -1, -1)"	"(1, 0, 1)"	"(-1.000000, 1.000000, 0.500000)"
A1	1	1	sigma_x	1/8	"(1, -1, 1)"	"(-1, 0, -1)"	"(-1.000000, 1.000000, 0.500000)"
A1	1	1	sigma_z	1/8	"(-1, -1, -1)"	"(1, 0, 1)"	"(-1.000000, 1.000000, 0.500000)"
A1	1	1	sigma_d3	1/8	"(-1, -1, 1)"	"(1, 0, -1)"	"(-1.000000, 1.000000, 0.500000)"
A1	1	1	sigma_d5	1/8	"(1, -1, -1)"	"(-1, 0, 1)"	"(-1.000000, 1.000000, 0.500000)"
A1	1	1	E	1/8	"(-1, -1, -1)"	"(1, 0, 1)"	"(-1.000000, -1.000000, 0.500000)"
A1	1	1	C2y	1/8	"(1, -1, 1)"	"(-1, 0, -1)"	"(-1.000000, -1.000000, 0.500000)"
A1	1	1	C4y+	1/8	"(-1, -1, 1)"	"(1, 0, -1)"	"(-1.000000, -1.000000, 0.500000)"
A1	1	1	C4y-	1/8	"(1, -1, -1)"	"(-1, 0, 1)"	"(-1.000000, -1.000000, 0.500000)"
A1	1	1	sigma_x	1/8	"(1, -1, -1)"	"(-1, 0, 1)"	"(-1.000000, -1.000000, 0.500000)"
A1	1	1	sigma_z	1/8	"(-1, -1, 1)"	"(1, 0, -1)"	"(-1.000000, -1.000000, 0.500000)"
A1	1	1	sigma_d3	1/8	"(1, -1, 1)"	"(-1, 0, -1)"	"(-1.000000, -1.000000, 0.500000)"
A1	1	1	sigma_d5	1/8	"(-1, -1, -1)"	"(1, 0, 1)"	"(-1.000000, -1.000000, 0.500000)"
A1	1	1	E	1/8	"(1, 0, 0)"	"(-1, -1, 0)"	"(1.000000, 0.000000, -0.500000)"
A1	1	1	C2y	1/8	"(-1, 0, 0)"	"(1, -1, 0)"	"(1.000000, 0.000000, -0.500000)"
A1	1	1	C4y+	1/8	"(0, 0, -1)"	"(0, -1, 1)"	"(1.000000, 0.000000, -0.500000)"
A1	1	1	C4y-	1/8	"(0, 0, 1)"	"(0, -1, -1)"	"(1.000000, 0.000000, -0.500000)"
A1	1	1	sigma_x	1/8	"(-1, 0, 0)"	"(1, -1, 0)"	"(1.000000, 0.000000, -0.500000)"
A1	1	1	sigma_z	1/8	"(1, 0, 0)"	"(-1, -1, 0)"	"(1.000000, 0.000000, -0.500000)"
A1	1	1	sigma_d3	1/8	"(0, 0, -1)"	"(0, -1, 1)"	"(1.000000, 0.000000, -0.500000)"
A1	1	1	sigma_d5	1/8	"(0, 0, 1)"	"(0, -1, -1)"	"(1.000000, 0.000000, -0.500000)"
A1	1	1	E	1/8	"(-1, 0, 0)"	"(1, -1, 0)"	"(-1.000000, 0.000000, -0.500000)"
A1	1	1	C2y	1/8	"(1, 0, 0)"	"(-1, -1, 0)"	"(-1.000000, 0.000000, -0.500000)"
A1	1	1	C4y+	1/8	"(0, 0, 1)"	"(0, -1, -1)"	"(-1.000000, 0.000000, -0.500000)"
A1	1	1	C4y-	1/8	"(0, 0, -1)"	"(0, -1, 1)"	"(-1.000000, 0.000000, -0.500000)"
A1	1	1	sigma_x	1/8	"(1, 0, 0)"	"(-1, -1, 0)"	"(-1.000000, 0.000000, -0.500000)"
A1	1	1	sigma_z	1/8	"(-1, 0, 0)"	"(1, -1, 0)"	"(-1.000000, 0.000000, -0.500000)"
A1	1	1	sigma_d3	1/8	"(0, 0, 1)"	"(0, -1, -1)"	"(-1.000000, 0.000000, -0.500000)"
A1	1	1	sigma_d5	1/8	"(0, 0, -1)"	"(0, -1, 1)"	"(-1.000000, 0.000000, -0.500000)"
A1	1	1	E	1/8	"(0, 0, 1)"	"(0, -1, -1)"	"(0.000000, 1.000000, -0.500000)"
A1	1	1	C2y	1/8	"(0, 0, -1)"	"(0, -1, 1)"	"(0.000000, 1.000000, -0.500000)"
A1	1	1	C4y+	1/8	"(1, 0, 0)"	"(-1, -1, 0)"	"(0.000000, 1.000000, -0.500000)"
A1	1	1	C4y-	1/8	"(-1, 0, 0)"	"(1, -1, 0)"	"(0.000000, 1.000000, -0.500000)"
A1	1	1	sigma_x	1/8	"(0, 0, 1)"	"(0, -1, -1)"	"(0.000000, 1.000000, -0.500000)"
A1	1	1	sigma_z	1/8	"(0, 0, -1)"	"(0, -1, 1)"	"(0.000000, 1.000000, -0.500000)"
A1	1	1	sigma_d3	1/8	"(-1, 0, 0)"	"(1, -1, 0)"	"(0.000000, 1.000000, -0.500000)"
A1	1	1	sigma_d5	1/8	"(1, 0, 0)"	"(-1, -1, 0)"	"(0.000000, 1.000000, -0.500000)"
A1	1	1	E	1/8	"(0, 0, -1)"	"(0, -1, 1)"	"(0.000000, -1.000000, -0.500000)"
A1	1	1	C2y	1/8	"(0, 0, 1)"	"(0, -1, -1)"	"(0.000000, -1.000000, -0.500000)"
A1	1	1	C4y+	1/8	"(-1, 0, 0)"	"(1, -1, 0)"	"(0.000000, -1.000000, -0.500000)"
A1	1	1	C4y-	1/8	"(1, 0, 0)"	"(-1, -1, 0)"	"(0.000000, -1.000000, -0.500000)"
A1	1	1	sigma_x	1/8	"(0, 0, -1)"	"(0, -1, 1)"	"(0.000000, -1.000000, -0.500000)"
A1	1	1	sigma_z	1/8	"(0, 0, 1)"	"(0, -1, -1)"	"(0.000000, -1.000000, -0.500000)"
A1	1	1	sigma_d3	1/8	"(1, 0, 0)"	"(-1, -1, 0)"	"(0.000000, -1.000000, -0.500000)"
A1	1	1	sigma_d5	1/8	"(-1, 0, 0)"	"(1, -1, 0)"	"(0.000000, -1.000000, -0.500000)"
A1	1	1	E	1/8	"(1, 0, 1)"	"(-1, -1, -1)"	"(1.000000, 1.000000, -0.500000)"
A1	1	1	C2y	1/8	"(-1, 0, -1)"	"(1, -1, 1)"	"(1.000000, 1.000000, -0.500000)"
A1	1	1	C4y+	1/8	"(1, 0, -1)"	"(-1, -1, 1)"	"(1.000000, 1.000000, -0.500000)"
A1	1	1	C4y-	1/8	"(-1, 0, 1)"	"(1, -1, -1)"	"(1.000000, 1.000000, -0.500000)"
A1	1	1	sigma_x	1/8	"(-1, 0, 1)"	"(1, -1, -1)"	"(1.000000, 1.000000, -0.500000)"
A1	1	1	sigma_z	1/8	"(1, 0, -1)"	"(-1, -1, 1)"	"(1.000000, 1.000000, -0.500000)"
A1	1	1	sigma_d3	1/8	"(-1, 0, -1)"	"(1, -1, 1)"	"(1.000000, 1.000000, -0.500000)"
A1	1	1	sigma_d5	1/8	"(1, 0, 1)"	"(-1, -1, -1)"	"(1.000000, 1.000000, -0.500000)"
A1	1	1	E	1/8	"(1, 0, -1)"	"(-1, -1, 1)"	"(1.000000, -1.000000, -0.500000)"
A1	1	1	C2y	1/8	"(-1, 0, 1)"	"(1, -1, -1)"	"(1.000000, -1.000000, -0.500000)"
A1	1	1	C4y+	1/8	"(-1, 0, -1)"	"(1, -1, 1)"	"(1.000000, -1.000000, -0.500000)"
A1	1	1	C4y-	1/8	"(1, 0, 1)"	"(-1, -1, -1)"	"(1.000000, -1.000000, -0.500000)"
A1	1	1	sigma_x	1/8	"(-1, 0, -1)"	"(1, -1, 1)"	"(1.000000, -1.000000, -0.500000)"
A1	1	1	sigma_z	1/8	"(1, 0, 1)"	"(-1, -1, -1)"	"(1.000000, -1.000000, -0.500000)"
A1	1	1	sigma_d3	1/8	"(1, 0, -1)"	"(-1, -1, 1)"	"(1.000000, -1.000000, -0.500000)"
A1	1	1	sigma_d5	1/8	"(-1, 0, 1)"	"(1, -1, -1)"	"(1.000000, -1.000000, -0.500000)"
A1	1	1	E	1/8	"(-1, 0, 1)"	"(1, -1, -1)"	"(-1.000000, 1.000000, -0.500000)"
A1	1	1	C2y	1/8	"(1, 0, -1)"	"(-1, -1, 1)"	"(-1.000000, 1.000000, -0.500000)"
A1	1	1	C4y+	1/8	"(1, 0, 1)"	"(-1, -1, -1)"	"(-1.000000, 1.000000, -0.500000)"
A1	1	1	C4y-	1/8	"(-1, 0, -1)"	"(1, -1, 1)"	"(-1.000000, 1.000000, -0.500000)"
A1	1	1	sigma_x	1/8	"(1, 0, 1)"	"(-1, -1, -1)"	"(-1.000000, 1.000000, -0.500000)"
A1	1	1	sigma_z	1/8	"(-1, 0, -1)"	"(1, -1, 1)"	"(-1.000000, 1.000000, -0.500000)"
A1	1	1	sigma_d3	1/8	"(-1, 0, 1)"	"(1, -1, -1)"	"(-1.000000, 1.000000, -0.500000)"
A1	1	1	sigma_d5	1/8	"(1, 0, -1)"	"(-1, -1, 1)"	"(-1.000000, 1.000000, -0.500000)"
A1	1	1	E	1/8	"(-1, 0, -1)"	"(1, -1, 1)"	"(-1.000000, -1.000000, -0.500000)"
A1	1	1	C2y	1/8	"(1, 0, 1)"	"(-1, -1, -1)"	"(-1.000000, -1.000000, -0.500000)"
A1	1	1	C4y+	1/8	"(-1, 0, 1)"	"(1, -1, -1)"	"(-1.000000, -1.000000, -0.500000)"
A1	1	1	C4y-	1/8	"(1, 0, -1)"	"(-1, -1, 1)"	"(-1.000000, -1.000000, -0.500000)"
A1	1	1	sigma_x	1/8	"(1, 0, -1)"	"(-1, -1, 1)"	"(-1.000000, -1.000000, -0.500000)"
A1	1	1	sigma_z	1/8	"(-1, 0, 1)"	"(1, -1, -1)"	"(-1.000000, -1.000000, -0.500000)"
A1	1	1	sigma_d3	1/8	"(1, 0, 1)"	"(-1, -1, -1)"	"(-1.000000, -1.000000, -0.500000)"
A1	1	1	sigma_d5	1/8	"(-1, 0, -1)"	"(1, -1, 1)"	"(-1.000000, -1.000000, -0.500000)"
A1	1	1	E	1/8	"(0, 1, 0)"	"(0, -2, 0)"	"(0.000000, 0.000000, -1.500000)"
A1	1	1	C2y	1/8	"(0, 1, 0)"	"(0, -2, 0)"	"(0.000000, 0.000000, -1.500000)"
A1	1	1	C4y+	1/8	"(0, 1, 0)"	"(0, -2, 0)"	"(0.000000, 0.000000, -1.500000)"
A1	1	1	C4y-	1/8	"(0, 1, 0)"	"(0, -2, 0)"	"(0.000000, 0.000000, -1.500000)"
A1	1	1	sigma_x	1/8	"(0, 1, 0)"	"(0, -2, 0)"	"(0.000000, 0.000000, -1.500000)"
A1	1	1	sigma_z	1/8	"(0, 1, 0)"	"(0, -2, 0)"	"(0.000000, 0.000000, -1.500000)"
A1	1	1	sigma_d3	1/8	"(0, 1, 0)"	"(0, -2, 0)"	"(0.000000, 0.000000, -1.500000)"
A1	1	1	sigma_d5	1/8	"(0, 1, 0)"	"(0, -2, 0)"	"(0.000000, 0.000000, -1.500000)"
E	1	1	E	1/4	"(0, -1, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.500000)"
E	1	1	C2y	1/4*I	"(0, -1, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.500000)"
E	1	1	C4y+	-1/4*I	"(0, -1, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.500000)"
E	1	1	C4y-	-1/4	"(0, -1, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.500000)"
E	1	1	E	1/4	"(0, -2, 0)"	"(0, 1, 0)"	"(0.000000, 0.000000, 1.500000)"
E	1	1	C2y	1/4*I	"(0, -2, 0)"	"(0, 1, 0)"	"(0.000000, 0.000000, 1.500000)"
E	1	1	C4y+	-1/4*I	"(0, -2, 0)"	"(0, 1, 0)"	"(0.000000, 0.000000, 1.500000)"
E	1	1	C4y-	-1/4	"(0, -2, 0)"	"(0, 1, 0)"	"(0.000000, 0.000000, 1.500000)"
E	1	1	E	1/4	"(0, 0, 0)"	"(0, -1, 0)"	"(0.000000, 0.000000, -0.500000)"
E	1	1	C2y	1/4*I	"(0, 0, 0)"	"(0, -1, 0)"	"(0.000000, 0.000000, -0.500000)"
E	1	1	C4y+	-1/4*I	"(0, 0, 0)"	"(0, -1, 0)"	"(0.000000, 0.000000, -0.500000)"
E	1	1	C4y-	-1/4	"(0, 0, 0)"	"(0, -1, 0)"	"(0.000000, 0.000000, -0.500000)"
E	1	1	E	1/4	"(0, -1, 1)"	"(0, 0, -1)"	"(0.000000, 1.000000, 0.500000)"
E	1	1	C2y	1/4*I	"(0, -1, -1)"	"(0, 0, 1)"	"(0.000000, 1.000000, 0.500000)"
E	1	1	C4y+	-1/4*I	"(1, -1, 0)"	"(-1, 0, 0)"	"(0.000000, 1.000000, 0.500000)"
E	1	1	C4y-	-1/4	"(-1, -1, 0)"	"(1, 0, 0)"	"(0.000000, 1.000000, 0.500000)"
E	1	1	E	1/4	"(0, -1, -1)"	"(0, 0, 1)"	"(0.000000, -1.000000, 0.500000)"
E	1	1	C2y	1/4*I	"(0, -1, 1)"	"(0, 0, -1)"	"(0.000000, -1.000000, 0.500000)"
E	1	1	C4y+	-1/4*I	"(-1, -1, 0)"	"(1, 0, 0)"	"(0.000000, -1.000000, 0.500000)"
E	1	1	C4y-	-1/4	"(1, -1, 0)"	"(-1, 0, 0)"	"(0.000000, -1.000000, 0.500000)"
E	1	1	E	1/4	"(1, -1, 0)"	"(-1, 0, 0)"	"(1.000000, 0.000000, 0.500000)"
E	1	1	C2y	1/4*I	"(-1, -1, 0)"	"(1, 0, 0)"	"(1.000000, 0.000000, 0.500000)"
E	1	1	C4y+	-1/4*I	"(0, -1, -1)"	"(0, 0, 1)"	"(1.000000, 0.000000, 0.500000)"
E	1	1	C4y-	-1/4	"(0, -1, 1)"	"(0, 0, -1)"	"(1.000000, 0.000000, 0.500000)"
E	1	1	E	1/4	"(-1, -1, 0)"	"(1, 0, 0)"	"(-1.000000, 0.000000, 0.500000)"
E	1	1	C2y	1/4*I	"(1, -1, 0)"	"(-1, 0, 0)"	"(-1.000000, 0.000000, 0.500000)"
E	1	1	C4y+	-1/4*I	"(0, -1, 1)"	"(0, 0, -1)"	"(-1.000000, 0.000000, 0.500000)"
E	1	1	C4y-	-1/4	"(0, -1, -1)"	"(0, 0, 1)"	"(-1.000000, 0.000000, 0.500000)"
E	1	1	E	1/4	"(1, -1, 1)"	"(-1, 0, -1)"	"(1.000000, 1.000000, 0.500000)"
E	1	1	C2y	1/4*I	"(-1, -1, -1)"	"(1, 0, 1)"	"(1.000000, 1.000000, 0.500000)"
E	1	1	C4y+	-1/4*I	"(1, -1, -1)"	"(-1, 0, 1)"	"(1.000000, 1.000000, 0.500000)"
E	1	1	C4y-	-1/4	"(-1, -1, 1)"	"(1, 0, -1)"	"(1.000000, 1.000000, 0.500000)"
E	1	1	E	1/4	"(1, -1, -1)"	"(-1, 0, 1)"	"(1.000000, -1.000000, 0.500000)"
E	1	1	C2y	1/4*I	"(-1, -1, 1)"	"(1, 0, -1)"	"(1.000000, -1.000000, 0.500000)"
E	1	1	C4y+	-1/4*I	"(-1, -1, -1)"	"(1, 0, 1)"	"(1.000000, -1.000000, 0.500000)"
E	1	1	C4y-	-1/4	"(1, -1, 1)"	"(-1, 0, -1)"	"(1.000000, -1.000000, 0.500000)"
E	1	1	E	1/4	"(-1, -1, 1)"	"(1, 0, -1)"	"(-1.000000, 1.000000, 0.500000)"
E	1	1	C2y	1/4*I	"(1, -1, -1)"	"(-1, 0, 1)"	"(-1.000000, 1.000000, 0.500000)"
E	1	1	C4y+	-1/4*I	"(1, -1, 1)"	"(-1, 0, -1)"	"(-1.000000, 1.000000, 0.500000)"
E	1	1	C4y-	-1/4	"(-1, -1, -1)"	"(1, 0, 1)"	"(-1.000000, 1.000000, 0.500000)"
E	1	1	E	1/4	"(-1, -1, -1)"	"(1, 0, 1)"	"(-1.000000, -1.000000, 0.500000)"
E	1	1	C2y	1/4*I	"(1, -1, 1)"	"(-1, 0, -1)"	"(-1.000000, -1.000000, 0.500000)"
E	1	1	C4y+	-1/4*I	"(-1, -1, 1)"	"(1, 0, -1)"	"(-1.000000, -1.000000, 0.500000)"
E	1	1	C4y-	-1/4	"(1, -1, -1)"	"(-1, 0, 1)"	"(-1.000000, -1.000000, 0.500000)"
E	1	1	E	1/4	"(1, 0, 0)"	"(-1, -1, 0)"	"(1.000000, 0.000000, -0.500000)"
E	1	1	C2y	1/4*I	"(-1, 0, 0)"	"(1, -1, 0)"	"(1.000000, 0.000000, -0.500000)"
E	1	1	C4y+	-1/4*I	"(0, 0, -1)"	"(0, -1, 1)"	"(1.000000, 0.000000, -0.500000)"
E	1	1	C4y-	-1/4	"(0, 0, 1)"	"(0, -1, -1)"	"(1.000000, 0.000000, -0.500000)"
E	1	1	E	1/4	"(-1, 0, 0)"	"(1, -1, 0)"	"(-1.000000, 0.000000, -0.500000)"
E	1	1	C2y	1/4*I	"(1, 0, 0)"	"(-1, -1, 0)"	"(-1.000000, 0.000000, -0.500000)"
E	1	1	C4y+	-1/4*I	"(0, 0, 1)"	"(0, -1, -1)"	"(-1.000000, 0.000000, -0.500000)"
E	1	1	C4y-	-1/4	"(0, 0, -1)"	"(0, -1, 1)"	"(-1.000000, 0.000000, -0.500000)"
E	1	1	E	1/4	"(0, 0, 1)"	"(0, -1, -1)"	"(0.000000, 1.000000, -0.500000)"
E	1	1	C2y	1/4*I	"(0, 0, -1)"	"(0, -1, 1)"	"(0.000000, 1.000000, -0.500000)"
E	1	1	C4y+	-1/4*I	"(1, 0, 0)"	"(-1, -1, 0)"	"(0.000000, 1.000000, -0.500000)"
E	1	1	C4y-	-1/4	"(-1, 0, 0)"	"(1, -1, 0)"	"(0.000000, 1.000000, -0.500000)"
E	1	1	E	1/4	"(0, 0, -1)"	"(0, -1, 1)"	"(0.000000, -1.000000, -0.500000)"
E	1	1	C2y	1/4*I	"(0, 0, 1)"	"(0, -1, -1)"	"(0.000000, -1.000000, -0.500000)"
E	1	1	C4y+	-1/4*I	"(-1, 0, 0)"	"(1, -1, 0)"	"(0.000000, -1.000000, -0.500000)"
E	1	1	C4y-	-1/4	"(1, 0, 0)"	"(-1, -1, 0)"	"(0.000000, -1.000000, -0.500000)"
E	1	1	E	1/4	"(1, 0, 1)"	"(-1, -1, -1)"	"(1.000000, 1.000000, -0.500000)"
E	1	1	C2y	1/4*I	"(-1, 0, -1)"	"(1, -1, 1)"	"(1.000000, 1.000000, -0.500000)"
E	1	1	C4y+	-1/4*I	"(1, 0, -1)"	"(-1, -1, 1)"	"(1.000000, 1.000000, -0.500000)"
E	1	1	C4y-	-1/4	"(-1, 0, 1)"	"(1, -1, -1)"	"(1.000000, 1.000000, -0.500000)"
